#      year    tas (K) 
 1850  286.858 
 1851  286.798 
 1852  286.976 
 1853  287.015 
 1854  286.837 
 1855  286.777 
 1856  286.953 
 1857   287.01 
 1858  286.874 
 1859   286.92 
 1860  286.849 
 1861  286.771 
 1862  286.795 
 1863  286.812 
 1864  286.938 
 1865  287.009 
 1866  286.996 
 1867  286.976 
 1868  286.908 
 1869  286.948 
 1870  286.958 
 1871  286.953 
 1872      287 
 1873  286.921 
 1874  287.011 
 1875   287.01 
 1876   286.92 
 1877  286.931 
 1878  286.934 
 1879  287.083 
 1880   286.94 
 1881  286.916 
 1882  286.846 
 1883  286.938 
 1884    286.6 
 1885  286.666 
 1886  286.778 
 1887  286.824 
 1888  287.011 
 1889  287.085 
 1890  287.004 
 1891  287.011 
 1892  287.003 
 1893  287.067 
 1894  287.079 
 1895  287.117 
 1896  287.166 
 1897  287.152 
 1898  287.096 
 1899  287.233 
 1900  287.273 
 1901  287.089 
 1902   287.05 
 1903  286.935 
 1904  287.187 
 1905  287.179 
 1906  287.117 
 1907  287.131 
 1908  287.138 
 1909  287.281 
 1910  287.298 
 1911  287.295 
 1912  286.959 
 1913  286.902 
 1914  287.148 
 1915  287.206 
 1916  287.181 
 1917   287.14 
 1918    287.2 
 1919  287.297 
 1920  287.318 
 1921  287.143 
 1922  287.192 
 1923  287.271 
 1924  287.193 
 1925  287.161 
 1926  287.106 
 1927  287.244 
 1928  287.333 
 1929  287.256 
 1930  287.206 
 1931  287.274 
 1932  287.322 
 1933  287.296 
 1934  287.191 
 1935  287.187 
 1936  287.126 
 1937  287.089 
 1938   287.19 
 1939  287.218 
 1940  287.238 
 1941  287.072 
 1942  287.069 
 1943  287.174 
 1944  287.109 
 1945  286.927 
 1946  286.996 
 1947  287.167 
 1948  287.085 
 1949  287.047 
 1950  287.112 
 1951  287.046 
 1952  287.059 
 1953  287.154 
 1954  287.176 
 1955  287.128 
 1956  287.061 
 1957  287.103 
 1958  287.205 
 1959  287.261 
 1960  287.149 
 1961  287.089 
 1962  287.116 
 1963  286.989 
 1964  286.733 
 1965  286.821 
 1966  287.018 
 1967  287.075 
 1968  287.073 
 1969  287.064 
 1970      287 
 1971  287.017 
 1972  287.194 
 1973  287.227 
 1974  287.104 
 1975  286.961 
 1976  287.086 
 1977  287.208 
 1978  287.136 
 1979  287.083 
 1980  287.046 
 1981  287.193 
 1982   287.27 
 1983  287.042 
 1984  286.966 
 1985  287.048 
 1986   287.19 
 1987   287.21 
 1988  287.163 
 1989  287.267 
 1990  287.488 
 1991  287.496 
 1992  286.915 
 1993  286.983 
 1994  287.219 
 1995  287.216 
 1996  287.297 
 1997  287.374 
 1998  287.418 
 1999  287.446 
 2000  287.546 
 2001  287.672 
 2002  287.616 
 2003  287.572 
 2004  287.623 
 2005  287.586 
 2006  287.523 
 2007  287.562 
 2008   287.64 
 2009  287.729 
 2010  287.634 
 2011  287.662 
 2012  287.805 
 2013  287.927 
 2014  287.679 
