#      year    tas (K) 
 1850  286.324 
 1851  286.491 
 1852  286.473 
 1853  286.544 
 1854  286.613 
 1855  286.541 
 1856   286.64 
 1857  286.619 
 1858  286.566 
 1859  286.672 
 1860  286.507 
 1861  286.681 
 1862  286.329 
 1863  286.431 
 1864  286.514 
 1865  286.633 
 1866  286.726 
 1867   286.61 
 1868  286.486 
 1869  286.436 
 1870   286.54 
 1871   286.63 
 1872  286.719 
 1873  286.725 
 1874  286.649 
 1875  286.562 
 1876  286.664 
 1877  286.697 
 1878  286.576 
 1879  286.506 
 1880  286.578 
 1881  286.498 
 1882  286.363 
 1883  286.277 
 1884   286.13 
 1885  286.202 
 1886  286.323 
 1887  286.293 
 1888  286.276 
 1889  286.277 
 1890  286.461 
 1891  286.337 
 1892  286.531 
 1893  286.376 
 1894  286.501 
 1895  286.618 
 1896  286.442 
 1897  286.497 
 1898  286.488 
 1899  286.612 
 1900  286.652 
 1901  286.541 
 1902  286.516 
 1903  286.492 
 1904  286.471 
 1905  286.419 
 1906  286.429 
 1907  286.408 
 1908  286.597 
 1909  286.612 
 1910  286.608 
 1911  286.654 
 1912  286.575 
 1913  286.435 
 1914   286.46 
 1915    286.6 
 1916   286.74 
 1917  286.599 
 1918  286.573 
 1919  286.479 
 1920  286.617 
 1921  286.752 
 1922  286.444 
 1923   286.38 
 1924  286.619 
 1925  286.579 
 1926  286.665 
 1927  286.568 
 1928  286.604 
 1929  286.719 
 1930  286.618 
 1931  286.489 
 1932  286.646 
 1933  286.743 
 1934  286.765 
 1935  286.674 
 1936   286.73 
 1937  286.892 
 1938  286.844 
 1939  286.703 
 1940  286.644 
 1941  286.769 
 1942  286.994 
 1943  286.978 
 1944  286.839 
 1945  286.838 
 1946  286.782 
 1947  286.867 
 1948  286.951 
 1949  286.901 
 1950  286.773 
 1951  286.908 
 1952   287.04 
 1953  286.955 
 1954  286.851 
 1955  286.963 
 1956  286.996 
 1957  287.074 
 1958  287.125 
 1959  286.895 
 1960   286.99 
 1961  286.985 
 1962  287.199 
 1963  287.022 
 1964  286.912 
 1965  286.961 
 1966  286.962 
 1967  286.983 
 1968  286.975 
 1969  287.067 
 1970  286.887 
 1971  286.911 
 1972  287.024 
 1973  287.176 
 1974   286.95 
 1975  286.921 
 1976   287.06 
 1977   287.06 
 1978  287.017 
 1979   287.09 
 1980  287.217 
 1981  287.138 
 1982  286.899 
 1983  286.753 
 1984  286.904 
 1985  286.839 
 1986  287.097 
 1987  287.312 
 1988   287.49 
 1989  287.633 
 1990  287.268 
 1991   287.18 
 1992  287.094 
 1993  287.141 
 1994  287.233 
 1995  287.424 
 1996  287.508 
 1997  287.434 
 1998  287.343 
 1999  287.428 
 2000  287.516 
 2001  287.446 
 2002  287.361 
 2003   287.45 
 2004  287.447 
 2005  287.701 
 2006  287.731 
 2007  287.511 
 2008  287.565 
 2009  287.934 
 2010  287.996 
 2011  287.674 
 2012  287.873 
 2013  287.871 
 2014   287.76 
