#      year    tas (K) 
 1850  286.707 
 1851  286.723 
 1852  286.894 
 1853  286.998 
 1854  286.705 
 1855  286.682 
 1856   286.67 
 1857   286.68 
 1858  286.702 
 1859  286.586 
 1860  286.491 
 1861  286.589 
 1862  286.548 
 1863  286.632 
 1864  286.673 
 1865  286.651 
 1866  286.744 
 1867  286.785 
 1868  286.817 
 1869  286.749 
 1870  286.739 
 1871  286.745 
 1872  286.657 
 1873  286.717 
 1874  286.884 
 1875  286.855 
 1876   286.74 
 1877  286.744 
 1878  286.683 
 1879  286.616 
 1880  286.702 
 1881  286.791 
 1882  286.731 
 1883  286.856 
 1884  286.449 
 1885  286.481 
 1886  286.513 
 1887  286.651 
 1888  286.795 
 1889  286.749 
 1890  286.752 
 1891  286.734 
 1892  286.781 
 1893  286.604 
 1894  286.706 
 1895  286.672 
 1896  286.639 
 1897  286.618 
 1898  286.602 
 1899  286.616 
 1900  286.678 
 1901  286.752 
 1902  286.858 
 1903  286.431 
 1904  286.525 
 1905  286.645 
 1906  286.551 
 1907  286.534 
 1908  286.748 
 1909  286.814 
 1910  286.705 
 1911  286.657 
 1912   286.57 
 1913  286.705 
 1914  286.807 
 1915  286.926 
 1916  286.829 
 1917  286.897 
 1918  286.859 
 1919  286.796 
 1920  286.811 
 1921  286.848 
 1922  286.883 
 1923  286.842 
 1924   286.88 
 1925  286.879 
 1926  286.964 
 1927  287.017 
 1928  287.009 
 1929  286.992 
 1930  286.918 
 1931  286.932 
 1932  286.896 
 1933  286.912 
 1934  287.132 
 1935   287.16 
 1936  287.284 
 1937  287.167 
 1938  287.112 
 1939  286.899 
 1940  286.979 
 1941  286.973 
 1942  287.025 
 1943  287.035 
 1944   287.02 
 1945  287.004 
 1946  286.937 
 1947  287.067 
 1948  287.194 
 1949  287.053 
 1950  286.974 
 1951  287.037 
 1952  286.948 
 1953  286.929 
 1954  286.848 
 1955  286.872 
 1956  286.931 
 1957  286.868 
 1958  286.917 
 1959  287.039 
 1960  287.117 
 1961  287.128 
 1962   286.96 
 1963  286.955 
 1964  286.964 
 1965  286.954 
 1966  287.023 
 1967  286.876 
 1968  286.959 
 1969  286.996 
 1970  287.132 
 1971  287.214 
 1972  287.067 
 1973  287.051 
 1974  286.973 
 1975  286.932 
 1976  287.131 
 1977  287.143 
 1978  287.167 
 1979  287.141 
 1980  287.314 
 1981  287.276 
 1982  287.197 
 1983  287.108 
 1984  287.168 
 1985  287.267 
 1986  287.344 
 1987  287.299 
 1988  287.258 
 1989  287.275 
 1990  287.332 
 1991  287.285 
 1992  287.057 
 1993  287.021 
 1994  287.208 
 1995  287.274 
 1996  287.283 
 1997  287.183 
 1998  287.284 
 1999  287.348 
 2000  287.407 
 2001   287.48 
 2002  287.501 
 2003  287.462 
 2004  287.415 
 2005  287.474 
 2006  287.563 
 2007  287.587 
 2008  287.748 
 2009  287.805 
 2010  287.639 
 2011  287.746 
 2012  287.773 
 2013  287.774 
 2014  287.739 
