#      year    tas (K) 
 1850  286.928 
 1851  286.955 
 1852  286.886 
 1853  286.814 
 1854  286.757 
 1855  286.918 
 1856  286.918 
 1857  286.864 
 1858  286.843 
 1859  286.989 
 1860  286.845 
 1861  286.826 
 1862  286.792 
 1863  286.881 
 1864  286.766 
 1865  286.882 
 1866   286.82 
 1867  286.798 
 1868  286.882 
 1869  286.757 
 1870  286.794 
 1871  286.862 
 1872  286.713 
 1873  286.627 
 1874  286.729 
 1875  286.927 
 1876   286.85 
 1877  286.939 
 1878   286.94 
 1879  286.844 
 1880  286.926 
 1881  286.961 
 1882  287.004 
 1883  286.836 
 1884  286.737 
 1885  286.643 
 1886  286.803 
 1887  286.779 
 1888  286.804 
 1889  286.802 
 1890  286.797 
 1891  286.938 
 1892  286.926 
 1893  286.917 
 1894  286.966 
 1895    287.1 
 1896  287.085 
 1897  286.999 
 1898  286.998 
 1899  286.938 
 1900  286.801 
 1901  287.038 
 1902  286.988 
 1903  286.756 
 1904  286.948 
 1905  287.038 
 1906  286.907 
 1907  286.793 
 1908  286.993 
 1909  287.041 
 1910  287.061 
 1911  286.935 
 1912  286.879 
 1913  286.887 
 1914  286.893 
 1915  286.925 
 1916  286.798 
 1917  286.824 
 1918  286.872 
 1919  286.821 
 1920  286.826 
 1921  286.962 
 1922  287.058 
 1923  287.074 
 1924  286.863 
 1925  286.804 
 1926  286.866 
 1927  287.011 
 1928   286.97 
 1929  287.033 
 1930  286.976 
 1931  286.838 
 1932  286.941 
 1933  286.979 
 1934  286.944 
 1935  287.056 
 1936  287.159 
 1937  287.106 
 1938  287.171 
 1939  287.109 
 1940  287.029 
 1941  287.082 
 1942  286.995 
 1943  287.008 
 1944  287.132 
 1945   287.07 
 1946  287.196 
 1947  287.201 
 1948  287.266 
 1949  287.245 
 1950  287.235 
 1951  287.172 
 1952  287.051 
 1953   286.96 
 1954   287.07 
 1955  287.212 
 1956  287.037 
 1957  287.121 
 1958  287.186 
 1959  287.121 
 1960  287.116 
 1961      287 
 1962  287.045 
 1963  286.975 
 1964  286.979 
 1965   286.94 
 1966  286.982 
 1967  287.003 
 1968  286.947 
 1969  286.907 
 1970  286.987 
 1971  287.031 
 1972  286.968 
 1973  286.973 
 1974  287.151 
 1975  287.089 
 1976  286.863 
 1977  286.949 
 1978  287.083 
 1979  287.064 
 1980  287.046 
 1981  287.143 
 1982  287.248 
 1983  287.076 
 1984  286.982 
 1985  287.339 
 1986  287.206 
 1987  287.168 
 1988  287.241 
 1989  287.144 
 1990  287.214 
 1991  287.271 
 1992  286.977 
 1993  287.139 
 1994  287.276 
 1995  287.269 
 1996  287.198 
 1997  287.342 
 1998  287.524 
 1999  287.436 
 2000  287.555 
 2001  287.569 
 2002  287.461 
 2003  287.555 
 2004   287.63 
 2005  287.791 
 2006  287.717 
 2007  287.668 
 2008  287.765 
 2009   287.66 
 2010  287.576 
 2011  287.618 
 2012  287.726 
 2013  287.771 
 2014  287.786 
