#      year    tas (K) 
 1850  286.972 
 1851  286.981 
 1852  287.067 
 1853   287.13 
 1854  287.056 
 1855  286.923 
 1856   287.11 
 1857  287.134 
 1858  287.112 
 1859  287.146 
 1860  287.066 
 1861  287.165 
 1862  287.089 
 1863  287.114 
 1864  287.099 
 1865  286.925 
 1866  287.001 
 1867  287.011 
 1868   286.98 
 1869   286.81 
 1870  286.712 
 1871  286.879 
 1872   287.14 
 1873   287.18 
 1874  286.983 
 1875  286.949 
 1876  286.979 
 1877  287.105 
 1878  287.242 
 1879  287.051 
 1880  287.056 
 1881  286.988 
 1882  287.061 
 1883  287.102 
 1884  286.805 
 1885   286.78 
 1886  286.841 
 1887  286.933 
 1888  287.087 
 1889  287.054 
 1890  287.007 
 1891  287.211 
 1892    287.2 
 1893  286.918 
 1894  286.972 
 1895  287.037 
 1896  287.103 
 1897  286.993 
 1898  287.035 
 1899  286.959 
 1900  287.031 
 1901  286.885 
 1902  287.001 
 1903  286.999 
 1904  286.891 
 1905  286.946 
 1906  286.925 
 1907  287.088 
 1908  287.051 
 1909  287.001 
 1910  286.976 
 1911  287.019 
 1912  286.951 
 1913  287.024 
 1914  287.133 
 1915  287.149 
 1916  287.026 
 1917  286.936 
 1918  287.035 
 1919  287.154 
 1920  287.052 
 1921  286.916 
 1922  286.923 
 1923  286.954 
 1924  287.101 
 1925  287.096 
 1926  287.067 
 1927   286.93 
 1928  287.004 
 1929  286.999 
 1930  287.093 
 1931  286.923 
 1932  286.946 
 1933  286.969 
 1934  286.916 
 1935  286.964 
 1936  287.098 
 1937   286.82 
 1938   286.81 
 1939   286.98 
 1940   286.88 
 1941   286.95 
 1942  287.121 
 1943  286.927 
 1944  287.057 
 1945  286.915 
 1946   286.97 
 1947   287.08 
 1948  287.036 
 1949  286.859 
 1950  286.814 
 1951   286.82 
 1952  286.894 
 1953   286.94 
 1954  287.211 
 1955  287.046 
 1956  287.099 
 1957  287.056 
 1958  287.134 
 1959  287.001 
 1960  286.997 
 1961  286.919 
 1962  287.078 
 1963  286.852 
 1964  286.571 
 1965  286.766 
 1966  286.862 
 1967  286.695 
 1968  286.563 
 1969   286.64 
 1970   286.77 
 1971  286.686 
 1972  286.686 
 1973  286.684 
 1974  286.668 
 1975  286.798 
 1976  286.828 
 1977  286.793 
 1978   286.89 
 1979  286.813 
 1980  286.763 
 1981  286.884 
 1982  286.913 
 1983  286.922 
 1984  286.916 
 1985  286.844 
 1986   287.02 
 1987  287.006 
 1988  286.988 
 1989  287.143 
 1990   287.28 
 1991  287.096 
 1992  286.849 
 1993  287.052 
 1994  287.226 
 1995  287.218 
 1996  287.348 
 1997   287.44 
 1998  287.607 
 1999  287.558 
 2000  287.627 
 2001  287.651 
 2002   287.79 
 2003  287.668 
 2004  287.675 
 2005   287.73 
 2006  287.682 
 2007  287.755 
 2008  287.836 
 2009  287.864 
 2010  287.915 
 2011  287.973 
 2012  287.932 
 2013  288.018 
 2014  288.067 
