#      year    tas (K) 
 1601  286.885 
 1602  286.931 
 1603  286.864 
 1604  286.838 
 1605  286.895 
 1606  287.009 
 1607  287.024 
 1608  287.033 
 1609  286.838 
 1610  286.919 
 1611  286.965 
 1612  286.934 
 1613  286.867 
 1614  286.934 
 1615  286.895 
 1616   287.01 
 1617  286.971 
 1618  286.882 
 1619  286.902 
 1620  287.049 
 1621   286.86 
 1622  286.821 
 1623  286.979 
 1624  286.945 
 1625  286.892 
 1626  286.895 
 1627  286.959 
 1628  286.955 
 1629  286.784 
 1630  286.895 
 1631  286.986 
 1632  286.953 
 1633  286.855 
 1634  287.001 
 1635  286.996 
 1636  286.982 
 1637  287.024 
 1638  286.962 
 1639   286.89 
 1640  286.754 
 1641  286.927 
 1642  286.947 
 1643  286.904 
 1644  286.871 
 1645  286.929 
 1646  286.971 
 1647  286.943 
 1648  286.949 
 1649  286.951 
 1650  286.982 
 1651  286.978 
 1652  286.971 
 1653  287.011 
 1654  286.972 
 1655  287.004 
 1656  286.967 
 1657  287.057 
 1658  287.097 
 1659  287.074 
 1660  286.996 
 1661  287.112 
 1662  287.166 
 1663  287.071 
 1664  286.858 
 1665  287.038 
 1666  287.106 
 1667   287.01 
 1668  286.972 
 1669  287.088 
 1670  287.086 
 1671   287.05 
 1672  286.915 
 1673  286.899 
 1674  286.973 
 1675  287.042 
 1676  286.966 
 1677  286.896 
 1678   286.93 
 1679    286.9 
 1680  286.878 
 1681  286.875 
 1682  286.874 
 1683  286.892 
 1684   287.07 
 1685  286.861 
 1686  286.744 
 1687  286.909 
 1688  286.967 
 1689   286.97 
 1690  286.945 
 1691  286.993 
 1692  286.945 
 1693  286.915 
 1694  286.848 
 1695  286.862 
 1696  286.811 
 1697  286.758 
 1698  286.751 
 1699  286.884 
 1700  286.946 
 1701  286.899 
 1702  286.769 
 1703   286.84 
 1704  286.968 
 1705   286.91 
 1706  286.803 
 1707   286.86 
 1708  286.832 
 1709  286.868 
 1710  286.845 
 1711  286.897 
 1712  286.815 
 1713   286.79 
 1714  286.842 
 1715  286.879 
 1716    286.8 
 1717  286.848 
 1718  286.954 
 1719  286.957 
 1720  286.833 
 1721  286.824 
 1722  286.917 
 1723  286.748 
 1724  286.758 
 1725  286.785 
 1726  286.964 
 1727  287.029 
 1728  286.819 
 1729  286.794 
 1730  286.905 
 1731  286.983 
 1732  286.884 
 1733   286.99 
 1734  287.144 
 1735  286.975 
 1736  286.813 
 1737  286.964 
 1738  287.065 
 1739  286.983 
 1740  286.946 
 1741  286.863 
 1742  286.954 
 1743  287.009 
 1744  286.805 
 1745   286.81 
 1746  286.758 
 1747  286.768 
 1748  286.787 
 1749  286.803 
 1750  286.706 
 1751  286.785 
 1752  286.897 
 1753  286.832 
 1754  286.762 
 1755  286.721 
 1756  286.585 
 1757  286.833 
 1758   286.85 
 1759  286.849 
 1760  286.752 
 1761  286.667 
 1762  286.711 
 1763  286.922 
 1764   286.83 
 1765  286.782 
 1766  286.726 
 1767  286.861 
 1768   287.02 
 1769  286.987 
 1770  286.968 
 1771  286.915 
 1772  286.943 
 1773  287.107 
 1774  286.964 
 1775  286.811 
 1776   286.77 
 1777  286.852 
 1778  286.822 
 1779  286.703 
 1780   286.65 
 1781  286.743 
 1782  286.871 
