#      year    tas (K) 
 1601  286.433 
 1602  286.502 
 1603  286.519 
 1604  286.692 
 1605  286.689 
 1606  286.438 
 1607  286.569 
 1608  286.812 
 1609  286.445 
 1610  286.467 
 1611  286.566 
 1612  286.461 
 1613  286.302 
 1614  286.523 
 1615  286.501 
 1616  286.445 
 1617  286.521 
 1618   286.67 
 1619   286.68 
 1620  286.584 
 1621  286.685 
 1622  286.616 
 1623  286.473 
 1624  286.629 
 1625  286.829 
 1626  286.726 
 1627  286.635 
 1628  286.596 
 1629  286.396 
 1630  286.545 
 1631  286.485 
 1632  286.336 
 1633  286.326 
 1634  286.397 
 1635  286.373 
 1636  286.437 
 1637  286.458 
 1638  286.691 
 1639  286.653 
 1640  286.414 
 1641  286.402 
 1642  286.371 
 1643  286.536 
 1644  286.567 
 1645  286.345 
 1646  286.401 
 1647  286.462 
 1648  286.417 
 1649  286.303 
 1650  286.254 
 1651  286.275 
 1652  286.197 
 1653  286.521 
 1654  286.323 
 1655  286.469 
 1656  286.392 
 1657  286.201 
 1658  286.332 
 1659  286.453 
 1660   286.33 
 1661  286.228 
 1662  286.148 
 1663  286.302 
 1664  286.293 
 1665  286.251 
 1666  286.212 
 1667  286.123 
 1668  286.282 
 1669  286.468 
 1670  286.301 
 1671  286.132 
 1672  286.312 
 1673  286.248 
 1674  286.386 
 1675  286.299 
 1676  286.268 
 1677  286.384 
 1678  286.509 
 1679  286.302 
 1680  286.288 
 1681  286.257 
 1682  286.318 
 1683   286.35 
 1684  286.327 
 1685  286.512 
 1686  286.351 
 1687  286.306 
 1688  286.439 
 1689  286.535 
 1690  286.518 
 1691  286.444 
 1692  286.367 
 1693  286.314 
 1694  286.289 
 1695  286.386 
 1696   286.48 
 1697  286.418 
 1698  286.324 
 1699  286.394 
 1700  286.536 
 1701  286.359 
 1702  286.313 
 1703  286.637 
 1704  286.477 
 1705   286.36 
 1706  286.602 
 1707  286.404 
 1708  286.256 
 1709  286.386 
 1710  286.433 
 1711   286.47 
 1712  286.198 
 1713  286.218 
 1714  286.346 
 1715  286.354 
 1716  286.387 
 1717  286.351 
 1718  286.457 
 1719  286.546 
 1720   286.44 
 1721  286.349 
 1722  286.303 
 1723  286.376 
 1724  286.485 
 1725  286.508 
 1726  286.289 
 1727  286.267 
 1728  286.401 
 1729  286.543 
 1730  286.325 
 1731  286.548 
 1732  286.333 
 1733  286.209 
 1734  286.269 
 1735  286.318 
 1736  286.216 
 1737  286.311 
 1738  286.436 
 1739  286.322 
 1740  286.382 
 1741  286.557 
 1742  286.465 
 1743  286.399 
 1744  286.211 
 1745  286.321 
 1746   286.35 
 1747  286.505 
 1748  286.647 
 1749  286.447 
 1750  286.273 
 1751  286.265 
 1752  286.472 
 1753  286.303 
 1754  286.318 
 1755  286.548 
 1756  286.273 
 1757  286.283 
 1758  286.399 
 1759  286.406 
 1760  286.459 
 1761  286.523 
 1762   286.57 
 1763  286.406 
 1764  286.321 
 1765  286.317 
 1766  286.459 
 1767    286.4 
 1768   286.32 
 1769  286.635 
 1770  286.487 
 1771   286.41 
 1772  286.482 
 1773  286.658 
 1774  286.674 
 1775  286.721 
 1776  286.542 
 1777  286.454 
 1778  286.559 
 1779  286.514 
 1780  286.488 
 1781  286.626 
 1782  286.468 
 1783  286.497 
 1784  286.537 
 1785  286.651 
 1786  286.694 
 1787  286.608 
 1788  286.554 
 1789  286.556 
 1790  286.653 
 1791  286.539 
 1792  286.354 
 1793  286.533 
 1794  286.609 
 1795  286.802 
 1796  286.619 
 1797  286.541 
 1798  286.761 
 1799  286.633 
 1800  286.603 
 1801  286.707 
 1802  286.563 
 1803  286.517 
 1804  286.514 
 1805  286.667 
 1806  286.475 
 1807  286.508 
 1808  286.556 
 1809  286.575 
 1810  286.614 
 1811  286.725 
 1812  286.473 
 1813  286.559 
 1814  286.533 
 1815  286.623 
 1816  286.476 
 1817  286.442 
 1818   286.55 
 1819  286.414 
 1820  286.494 
 1821  286.703 
 1822   286.63 
 1823  286.614 
 1824  286.658 
 1825   286.59 
 1826  286.481 
 1827  286.549 
 1828  286.462 
 1829  286.526 
 1830  286.437 
 1831   286.53 
 1832   286.65 
 1833  286.617 
 1834  286.453 
 1835  286.409 
 1836  286.437 
 1837  286.437 
 1838  286.451 
 1839  286.442 
 1840  286.471 
 1841  286.322 
 1842  286.442 
 1843  286.484 
 1844  286.363 
 1845   286.49 
 1846  286.485 
 1847  286.397 
 1848  286.359 
 1849  286.314 
 1850  286.287 
 1851  286.404 
 1852  286.218 
 1853  286.272 
 1854  286.471 
 1855  286.484 
 1856  286.429 
 1857  286.336 
 1858  286.404 
 1859  286.398 
 1860  286.454 
 1861  286.262 
 1862  286.207 
 1863  286.419 
 1864  286.455 
 1865  286.391 
 1866  286.398 
 1867  286.349 
 1868  286.525 
 1869  286.556 
 1870  286.628 
 1871  286.492 
 1872   286.33 
 1873    286.5 
 1874  286.367 
 1875  286.196 
 1876  286.334 
 1877  286.387 
 1878   286.35 
 1879   286.13 
 1880  286.193 
 1881  286.167 
 1882  286.315 
 1883  286.283 
 1884  286.336 
 1885  286.397 
 1886  286.285 
 1887  286.279 
 1888  286.399 
 1889   286.42 
 1890  286.433 
 1891  286.276 
 1892  286.118 
 1893  286.287 
 1894  286.133 
 1895  286.214 
 1896  286.194 
 1897  286.244 
 1898   286.21 
 1899  286.213 
 1900  286.255 
 1901  286.138 
 1902  286.166 
 1903  286.334 
 1904  286.265 
 1905  286.114 
 1906   286.26 
 1907  286.264 
 1908  286.354 
 1909  286.254 
 1910  286.128 
 1911  286.179 
 1912  286.367 
 1913  286.357 
 1914  286.309 
 1915  286.405 
 1916  286.191 
 1917  286.309 
 1918  286.492 
 1919  286.376 
 1920  286.263 
 1921  286.264 
 1922  286.302 
 1923  286.389 
 1924  286.224 
 1925  286.304 
 1926  286.497 
 1927  286.144 
 1928  286.123 
 1929  286.481 
 1930  286.451 
 1931  286.712 
 1932  286.556 
 1933  286.515 
 1934  286.405 
 1935  286.399 
