#      year    tas (K) 
 1601  286.742 
 1602    286.8 
 1603  286.785 
 1604  286.883 
 1605  286.752 
 1606  286.643 
 1607  286.868 
 1608   286.79 
 1609  286.648 
 1610  286.689 
 1611   286.72 
 1612  286.686 
 1613  286.895 
 1614  286.982 
 1615  286.851 
 1616  286.762 
 1617  286.749 
 1618  286.749 
 1619  286.721 
 1620  286.696 
 1621  286.785 
 1622  286.686 
 1623   286.62 
 1624  286.596 
 1625  286.598 
 1626  286.567 
 1627  286.605 
 1628  286.699 
 1629  286.786 
 1630  286.918 
 1631  286.852 
 1632  286.881 
 1633   286.89 
 1634  286.844 
 1635  286.867 
 1636  286.748 
 1637   286.75 
 1638  286.932 
 1639  286.863 
 1640  286.753 
 1641  286.772 
 1642  286.795 
 1643   286.74 
 1644  286.811 
 1645  286.837 
 1646  286.806 
 1647  286.735 
 1648  286.832 
 1649  286.874 
 1650   286.78 
 1651  286.753 
 1652  286.776 
 1653  286.893 
 1654  286.872 
 1655  286.669 
 1656  286.729 
 1657  286.816 
 1658  286.779 
 1659  286.812 
 1660  286.875 
 1661  286.791 
 1662  286.737 
 1663  286.764 
 1664  286.718 
 1665  286.729 
 1666  286.716 
 1667   286.54 
 1668  286.776 
 1669  286.702 
 1670  286.858 
 1671  286.827 
 1672  286.815 
 1673  286.573 
 1674  286.635 
 1675  286.736 
 1676  286.762 
 1677  286.742 
 1678  286.698 
 1679  286.605 
 1680  286.602 
 1681  286.627 
 1682  286.663 
 1683  286.579 
 1684  286.605 
 1685  286.592 
 1686  286.616 
 1687  286.613 
 1688  286.686 
 1689  286.642 
 1690  286.644 
 1691  286.607 
 1692  286.607 
 1693  286.723 
 1694  286.712 
 1695  286.805 
 1696   286.83 
 1697  286.686 
 1698  286.699 
 1699  286.673 
 1700  286.736 
 1701  286.648 
 1702  286.656 
 1703  286.674 
 1704  286.669 
 1705  286.694 
 1706  286.748 
 1707  286.723 
 1708  286.689 
 1709   286.75 
 1710  286.689 
 1711  286.646 
 1712  286.728 
 1713  286.609 
 1714  286.825 
 1715  286.662 
 1716  286.707 
 1717  286.619 
 1718  286.658 
 1719  286.542 
 1720  286.669 
 1721  286.705 
 1722  286.567 
 1723  286.589 
 1724  286.565 
 1725  286.592 
 1726  286.752 
 1727  286.697 
 1728  286.706 
 1729   286.61 
 1730  286.607 
 1731  286.577 
 1732  286.786 
 1733  286.699 
 1734  286.666 
 1735  286.579 
 1736  286.591 
 1737  286.613 
 1738  286.627 
 1739  286.655 
 1740  286.725 
 1741  286.803 
 1742  286.878 
 1743   286.93 
 1744  286.884 
 1745  286.753 
 1746  286.579 
 1747  286.642 
 1748  286.656 
 1749  286.785 
 1750  286.712 
 1751  286.761 
 1752  286.792 
 1753  286.796 
 1754   286.81 
 1755  286.878 
 1756  286.861 
 1757  286.809 
 1758  286.877 
 1759  286.711 
 1760  286.798 
 1761  286.837 
 1762  286.821 
 1763  286.851 
 1764  286.729 
 1765  286.758 
 1766   286.65 
 1767  286.733 
 1768  286.769 
 1769  286.774 
 1770  286.829 
 1771  286.726 
 1772  286.697 
 1773  286.789 
 1774  286.708 
 1775  286.737 
 1776  286.689 
 1777  286.673 
 1778  286.753 
 1779  286.731 
 1780  286.763 
 1781  286.684 
 1782  286.723 
 1783  286.774 
 1784  286.766 
 1785  286.978 
 1786  286.938 
 1787  286.854 
 1788  286.778 
 1789  286.879 
 1790  286.787 
 1791  286.667 
 1792  286.707 
 1793   286.85 
 1794  286.884 
 1795  286.852 
 1796   286.72 
 1797  286.748 
 1798  286.755 
 1799    286.7 
 1800  286.682 
 1801  286.597 
 1802  286.736 
 1803  286.795 
 1804  286.722 
 1805  286.813 
 1806  286.687 
 1807  286.653 
 1808  286.708 
 1809  286.767 
 1810  287.037 
 1811  286.834 
 1812  286.908 
 1813  286.781 
 1814  286.806 
 1815  286.831 
 1816  286.799 
 1817  286.788 
 1818  286.797 
 1819  286.803 
 1820  286.863 
 1821  286.771 
 1822  286.773 
 1823  286.669 
 1824  286.711 
 1825  286.801 
 1826  286.847 
