#      year    tas (K) 
 1601  286.904 
 1602  286.862 
 1603  286.828 
 1604  286.836 
 1605  286.896 
 1606  286.861 
 1607  286.933 
 1608  286.886 
 1609  286.847 
 1610  286.825 
 1611  286.871 
 1612  286.846 
 1613  286.842 
 1614  286.794 
 1615  286.835 
 1616  286.996 
 1617  287.239 
 1618  287.138 
 1619  287.117 
 1620  286.948 
 1621  286.931 
 1622  286.898 
 1623  286.842 
 1624  286.839 
 1625  286.798 
 1626   286.89 
 1627  286.914 
 1628   286.85 
 1629  286.888 
 1630   287.13 
 1631  286.971 
 1632  287.023 
 1633  287.112 
 1634  287.001 
 1635  286.857 
 1636    286.9 
 1637  287.043 
 1638  286.939 
 1639  286.995 
 1640   287.07 
 1641  286.874 
 1642  286.877 
 1643  286.874 
 1644  286.866 
 1645  286.613 
 1646  286.787 
 1647  286.818 
 1648  286.789 
 1649  286.859 
 1650  286.734 
 1651  286.818 
 1652   286.79 
 1653  286.837 
 1654  286.914 
 1655  286.832 
 1656  286.831 
 1657  286.938 
 1658  286.851 
 1659  286.809 
 1660  286.832 
 1661  286.794 
 1662  286.765 
 1663  286.858 
 1664  286.905 
 1665  286.809 
 1666  286.835 
 1667  286.793 
 1668  286.885 
 1669  286.843 
 1670  286.783 
 1671    286.9 
 1672  286.912 
 1673  286.856 
 1674  286.881 
 1675   286.79 
 1676  286.778 
 1677  286.869 
 1678  286.804 
 1679  286.743 
 1680  286.757 
 1681  286.788 
 1682  286.791 
 1683  286.782 
 1684  286.832 
 1685  286.842 
 1686   286.85 
 1687  286.862 
 1688   286.73 
 1689  286.703 
 1690  286.695 
 1691   286.82 
 1692  286.854 
 1693  286.824 
 1694  286.877 
 1695  287.027 
 1696  286.887 
 1697  286.934 
 1698  286.988 
 1699  287.111 
 1700  287.114 
 1701  286.959 
 1702  286.942 
 1703  286.975 
 1704  286.887 
 1705  286.924 
 1706   286.95 
 1707  286.867 
 1708  286.878 
 1709    286.9 
 1710  286.905 
 1711  286.794 
 1712   286.87 
 1713  286.961 
 1714   286.92 
 1715  286.835 
 1716  286.811 
 1717  286.875 
 1718  286.991 
 1719  286.887 
 1720  286.897 
 1721  287.087 
 1722  286.816 
 1723   286.87 
 1724  286.918 
 1725  286.767 
 1726  286.798 
 1727  286.918 
 1728  286.914 
 1729  286.816 
 1730  286.868 
 1731  287.091 
 1732  287.042 
 1733  286.942 
 1734  286.945 
 1735  287.042 
 1736  287.025 
 1737  287.085 
 1738  287.001 
 1739   287.04 
 1740      287 
 1741   286.92 
 1742  286.859 
 1743  286.825 
 1744  286.881 
 1745  286.925 
 1746  286.908 
 1747  286.957 
 1748  287.011 
 1749  286.952 
 1750  286.943 
 1751  287.056 
 1752  287.059 
 1753  286.869 
 1754  286.915 
 1755  287.092 
 1756  287.214 
 1757  286.992 
 1758  287.183 
 1759  287.061 
 1760  286.968 
 1761  286.916 
 1762  286.968 
 1763  286.872 
 1764  286.958 
 1765  286.907 
 1766  286.993 
 1767  286.874 
 1768  286.886 
 1769  287.027 
 1770  287.008 
 1771  287.017 
 1772  286.997 
 1773   286.93 
 1774  286.906 
 1775  287.026 
 1776  286.901 
 1777  286.881 
 1778  286.897 
 1779  286.926 
 1780  287.007 
 1781   286.93 
 1782  286.935 
 1783  287.035 
 1784  286.871 
 1785  286.856 
 1786  286.814 
 1787  286.901 
 1788  286.982 
 1789  287.039 
 1790   286.92 
 1791  286.958 
 1792  286.763 
 1793  286.947 
 1794  287.002 
 1795  286.892 
 1796  286.852 
 1797  286.971 
 1798  287.024 
 1799  286.926 
 1800   286.97 
 1801  286.905 
 1802  286.863 
 1803  286.829 
 1804  286.836 
 1805  286.896 
 1806  286.862 
 1807  286.933 
 1808  286.886 
 1809  286.848 
 1810  286.825 
 1811  286.871 
 1812  286.846 
 1813  286.843 
 1814  286.794 
 1815  286.835 
 1816  286.996 
 1817  287.239 
 1818  287.138 
 1819  287.117 
 1820  286.948 
 1821   286.93 
 1822  286.899 
 1823  286.842 
 1824  286.839 
 1825  286.798 
 1826  286.891 
 1827  286.914 
 1828   286.85 
 1829  286.889 
 1830  287.131 
 1831  286.972 
 1832  287.023 
 1833  287.113 
 1834  287.001 
 1835  286.858 
 1836  286.901 
 1837  287.045 
 1838  286.939 
 1839  286.997 
 1840  287.072 
 1841  286.875 
 1842  286.878 
 1843  286.875 
 1844  286.867 
 1845  286.613 
 1846  286.787 
 1847  286.819 
 1848  286.789 
 1849  286.859 
 1850  286.735 
 1851  286.817 
 1852  286.789 
 1853  286.837 
 1854  286.914 
 1855  286.832 
 1856  286.831 
 1857  286.937 
 1858   286.85 
 1859  286.808 
 1860  286.831 
 1861  286.794 
 1862  286.764 
 1863  286.857 
 1864  286.904 
 1865  286.807 
 1866  286.833 
 1867  286.791 
 1868  286.883 
 1869   286.84 
 1870  286.781 
 1871  286.898 
 1872   286.91 
 1873  286.855 
 1874  286.881 
 1875   286.79 
 1876  286.778 
 1877  286.869 
 1878  286.804 
 1879  286.742 
 1880  286.757 
 1881  286.787 
 1882  286.789 
 1883  286.782 
 1884  286.831 
 1885  286.841 
 1886  286.849 
 1887  286.861 
 1888  286.729 
 1889  286.706 
 1890  286.698 
 1891  286.823 
 1892  286.857 
 1893  286.827 
 1894   286.88 
 1895   287.03 
 1896   286.89 
 1897  286.937 
 1898  286.991 
 1899  287.115 
 1900  287.117 
 1901  286.963 
 1902  286.944 
 1903  286.978 
 1904   286.89 
 1905  286.927 
 1906  286.953 
 1907   286.87 
 1908  286.881 
 1909    286.9 
 1910  286.906 
 1911  286.795 
 1912   286.87 
 1913   286.96 
 1914   286.92 
 1915  286.835 
 1916  286.811 
 1917  286.875 
 1918   286.99 
 1919  286.885 
 1920  286.896 
 1921  287.086 
 1922  286.815 
 1923  286.869 
 1924  286.917 
 1925  286.769 
 1926  286.799 
 1927  286.919 
 1928  286.916 
 1929  286.817 
 1930   286.87 
 1931  287.093 
 1932  287.043 
 1933  286.943 
 1934  286.947 
 1935  287.043 
 1936  287.027 
 1937  287.086 
 1938  287.002 
 1939  287.042 
 1940  287.001 
 1941  286.921 
 1942   286.86 
 1943  286.826 
 1944  286.882 
 1945  286.928 
 1946  286.911 
 1947  286.961 
 1948  287.014 
 1949  286.955 
 1950  286.947 
 1951   287.06 
 1952  287.063 
 1953  286.874 
 1954   286.92 
 1955  287.098 
 1956   287.22 
 1957  286.998 
 1958  287.189 
 1959  287.067 
 1960  286.974 
 1961  286.912 
 1962  286.964 
 1963  286.869 
 1964  286.955 
 1965  286.904 
 1966  286.989 
 1967  286.871 
 1968  286.884 
 1969  287.024 
 1970  287.005 
 1971  287.014 
 1972  286.995 
 1973  286.928 
 1974  286.903 
 1975  287.023 
 1976    286.9 
