#      year    tas (K) 
 1601  287.428 
 1602  287.179 
 1603  287.197 
 1604   287.27 
 1605  287.176 
 1606  287.207 
 1607  287.186 
 1608   287.03 
 1609  287.022 
 1610  287.001 
 1611   287.03 
 1612  287.107 
 1613  287.065 
 1614  287.153 
 1615  287.214 
 1616  287.084 
 1617  287.035 
 1618  286.903 
 1619  287.072 
 1620   287.11 
 1621  286.971 
 1622  287.057 
 1623  287.189 
 1624  287.207 
 1625  287.232 
 1626   287.05 
 1627  287.053 
 1628  287.089 
 1629  287.067 
 1630  287.087 
 1631  287.124 
 1632  287.049 
 1633  286.994 
 1634  287.074 
 1635  287.106 
 1636  287.191 
 1637  287.166 
 1638  287.107 
 1639  287.235 
 1640  287.027 
 1641   286.89 
 1642  286.978 
 1643  286.982 
 1644  287.057 
 1645  287.003 
 1646  286.932 
 1647  287.073 
 1648  286.932 
 1649  286.924 
 1650  286.816 
 1651  286.885 
 1652   287.14 
 1653  287.072 
 1654  287.132 
 1655   287.17 
 1656   287.05 
 1657  287.059 
 1658  286.996 
 1659  287.037 
 1660  287.056 
 1661  286.846 
 1662  286.887 
 1663  286.934 
 1664  286.924 
 1665   287.05 
 1666  287.026 
 1667  286.976 
 1668  286.847 
 1669  286.875 
 1670  286.875 
 1671  286.966 
 1672  286.975 
 1673  287.128 
 1674  287.082 
 1675  287.037 
 1676  286.952 
 1677  287.023 
 1678  287.091 
 1679   286.97 
 1680  287.009 
 1681  287.018 
 1682  287.099 
 1683  287.204 
 1684  287.069 
 1685  286.937 
 1686  286.898 
 1687  286.975 
 1688  286.907 
 1689  286.922 
 1690  286.924 
 1691  286.822 
 1692   286.69 
 1693  286.739 
 1694  286.902 
 1695  286.879 
 1696  286.957 
 1697   287.09 
 1698  287.144 
 1699   287.32 
 1700  287.089 
 1701  286.979 
 1702  287.024 
 1703  287.039 
 1704  286.902 
 1705  286.993 
 1706  287.119 
 1707  287.191 
 1708  286.945 
 1709  287.011 
 1710  287.059 
 1711  287.088 
 1712  287.244 
 1713  287.122 
 1714  286.982 
 1715  287.079 
 1716  287.069 
 1717  287.109 
 1718  287.078 
 1719  287.003 
 1720  287.143 
 1721  287.141 
 1722  287.209 
 1723  287.005 
 1724  287.017 
 1725  287.095 
 1726  287.017 
 1727  287.022 
 1728   287.03 
 1729  287.035 
 1730  286.949 
 1731  287.021 
 1732  287.098 
 1733  287.102 
 1734  287.126 
 1735  287.095 
 1736  287.014 
 1737  286.973 
 1738  286.958 
 1739  286.953 
 1740  287.064 
 1741  287.092 
 1742   286.94 
 1743  286.961 
 1744  287.071 
 1745  287.062 
 1746  287.112 
 1747  287.029 
 1748  286.961 
 1749  286.991 
 1750  287.062 
 1751  287.099 
 1752  286.983 
 1753  287.044 
 1754  287.076 
 1755  287.028 
 1756  287.005 
 1757  287.016 
 1758  287.132 
 1759  286.935 
 1760  286.748 
 1761  286.713 
 1762  286.907 
 1763  286.934 
 1764  286.993 
 1765  287.042 
 1766  287.045 
 1767  286.968 
 1768  286.978 
 1769  286.916 
 1770  286.928 
 1771  286.928 
 1772  286.957 
 1773  286.929 
 1774  286.899 
 1775  286.989 
 1776  287.015 
 1777  286.867 
 1778   286.97 
 1779  287.005 
 1780  286.965 
 1781  286.887 
 1782  287.101 
 1783  287.166 
 1784  287.025 
 1785   286.96 
 1786  286.997 
 1787  287.044 
 1788  287.132 
 1789  287.224 
 1790   286.96 
 1791  286.947 
 1792  286.971 
 1793  287.034 
 1794  286.952 
 1795  286.958 
 1796  287.177 
 1797  287.054 
 1798  286.977 
 1799   287.19 
 1800  287.063 
 1801  287.105 
 1802  286.953 
 1803  286.878 
 1804  286.831 
 1805  286.955 
 1806  286.859 
 1807  286.754 
 1808  286.989 
 1809  287.114 
 1810  287.079 
 1811  287.023 
 1812  287.108 
 1813  287.128 
 1814  286.926 
 1815  287.029 
 1816   287.13 
 1817  287.015 
 1818   286.99 
 1819  286.927 
 1820  287.022 
 1821  287.111 
 1822  286.885 
 1823  286.862 
 1824  286.834 
 1825  286.917 
 1826   287.04 
 1827  286.876 
 1828  286.832 
 1829  286.939 
 1830  286.976 
 1831  286.945 
 1832  287.046 
 1833  287.084 
 1834  287.012 
 1835  286.938 
 1836  286.994 
 1837  286.921 
 1838  286.837 
 1839  286.805 
 1840  286.833 
 1841  287.003 
 1842  286.889 
 1843  286.929 
 1844  286.979 
 1845  286.984 
 1846  287.014 
 1847  286.901 
 1848  287.114 
 1849  287.117 
 1850  286.971 
 1851  286.932 
 1852  286.999 
 1853  286.958 
 1854  287.044 
 1855  286.911 
 1856   286.84 
 1857  286.872 
 1858  286.904 
 1859  286.868 
 1860  286.876 
 1861  286.987 
 1862  286.975 
 1863  286.854 
 1864  286.997 
 1865   287.16 
 1866   287.01 
 1867   286.96 
 1868  286.989 
 1869  287.088 
 1870   287.15 
 1871  287.035 
 1872  286.906 
 1873  286.966 
 1874   286.82 
 1875  286.903 
 1876   286.99 
 1877  286.853 
 1878  287.004 
 1879  286.812 
 1880  286.888 
 1881  286.933 
 1882  286.887 
 1883  286.901 
 1884  286.912 
 1885  287.043 
 1886  287.192 
 1887  287.138 
 1888  286.845 
 1889  286.935 
 1890  286.925 
 1891  286.793 
 1892  286.899 
 1893  287.048 
 1894  286.923 
 1895   286.98 
 1896  286.911 
 1897  286.946 
 1898  286.977 
 1899  286.992 
 1900  286.925 
 1901  287.008 
 1902  287.075 
 1903  286.914 
 1904   286.89 
 1905  286.956 
 1906  286.775 
 1907  286.752 
 1908  286.814 
 1909  287.015 
 1910  287.231 
 1911  287.007 
 1912  287.063 
 1913  287.166 
 1914  287.062 
 1915  287.021 
 1916  287.183 
 1917   287.19 
 1918  287.113 
 1919  287.174 
 1920  287.147 
 1921  287.024 
 1922  287.204 
 1923  287.269 
 1924  287.074 
 1925  286.958 
 1926  286.988 
 1927  287.197 
 1928  287.079 
 1929   286.87 
 1930  286.847 
 1931    286.9 
 1932  287.047 
 1933  286.976 
 1934  287.007 
 1935  287.033 
 1936  286.916 
 1937  286.942 
 1938  286.912 
 1939  286.899 
 1940  286.963 
 1941  287.009 
 1942   286.82 
 1943   286.83 
 1944  286.969 
 1945  286.985 
 1946  286.967 
 1947  286.867 
 1948  286.981 
 1949  286.969 
 1950  286.878 
 1951  286.999 
 1952   287.07 
 1953  287.136 
 1954  286.982 
 1955   286.95 
 1956  286.981 
 1957  286.947 
 1958  286.887 
 1959  286.947 
 1960      287 
 1961  286.999 
 1962  286.957 
 1963  286.968 
 1964  286.954 
 1965  286.905 
 1966  286.977 
 1967  287.115 
 1968  287.155 
 1969  287.003 
 1970  287.048 
 1971  287.006 
 1972  286.882 
 1973   286.91 
 1974  287.014 
 1975  286.971 
 1976  286.956 
 1977  287.083 
 1978  287.131 
 1979  287.073 
 1980  287.245 
 1981   287.15 
 1982   286.82 
 1983  286.926 
 1984  286.976 
 1985  286.854 
 1986  286.892 
 1987  286.837 
 1988  286.942 
 1989  286.944 
 1990  286.862 
 1991  286.976 
 1992  286.975 
 1993   287.02 
 1994  286.946 
 1995  286.914 
 1996  286.916 
 1997   286.87 
 1998  286.904 
 1999  286.939 
 2000  287.144 
 2001  287.193 
 2002    286.9 
 2003  286.992 
 2004  286.965 
 2005  287.015 
 2006  286.929 
 2007  286.887 
 2008   286.96 
 2009  287.016 
 2010  287.096 
 2011  286.923 
 2012  287.094 
 2013  287.191 
 2014  287.024 
 2015  286.973 
 2016  286.899 
 2017  287.015 
 2018  286.988 
 2019  286.993 
 2020   286.98 
 2021   287.02 
 2022  286.974 
 2023  286.847 
 2024  287.019 
 2025  286.964 
 2026  286.825 
 2027  286.916 
 2028  287.143 
 2029  287.144 
 2030  286.907 
 2031  286.878 
 2032  286.939 
 2033   286.91 
 2034  286.829 
 2035   287.02 
 2036  286.961 
 2037  286.952 
 2038  286.964 
 2039  286.978 
 2040   286.96 
 2041  286.969 
 2042  286.998 
 2043  287.072 
 2044  287.135 
 2045  287.038 
 2046  286.948 
 2047  286.827 
 2048  286.901 
 2049  287.028 
 2050  287.001 
 2051  286.968 
 2052  286.983 
 2053   286.95 
 2054  287.067 
 2055  287.055 
 2056  287.134 
 2057  287.149 
 2058  287.101 
 2059  287.049 
 2060  286.881 
 2061  287.003 
 2062  287.217 
 2063  286.949 
 2064  286.891 
 2065  286.909 
 2066  286.958 
 2067  286.807 
 2068  286.895 
 2069  286.805 
 2070  286.828 
 2071  286.819 
 2072  286.914 
 2073  286.811 
 2074  286.942 
 2075  286.904 
 2076  286.843 
 2077  286.805 
 2078   286.79 
 2079  286.982 
 2080  287.089 
 2081  286.954 
 2082   286.89 
 2083   286.96 
 2084  286.934 
 2085  286.853 
 2086  286.909 
 2087  286.831 
 2088  286.734 
 2089  286.739 
 2090  286.689 
 2091  286.824 
 2092   286.94 
 2093  286.846 
 2094  286.801 
 2095  286.808 
 2096  286.916 
 2097  286.835 
 2098  286.745 
 2099  286.766 
 2100  286.697 
