#      year    tas (K) 
 2015  287.773 
 2016  287.855 
 2017  288.047 
 2018  288.143 
 2019  288.029 
 2020  287.979 
 2021  288.099 
 2022   288.13 
 2023  288.228 
 2024  288.265 
 2025  288.274 
 2026  288.051 
 2027  288.002 
 2028  288.134 
 2029  288.188 
 2030  288.355 
 2031  288.402 
 2032   288.31 
 2033  288.489 
 2034   288.47 
 2035  288.528 
 2036  288.384 
 2037  288.583 
 2038  288.654 
 2039  288.569 
 2040   288.33 
 2041  288.467 
 2042  288.604 
 2043  288.516 
 2044  288.654 
 2045  288.691 
 2046  288.616 
 2047  288.767 
 2048   288.81 
 2049  288.819 
 2050  288.939 
 2051  288.965 
 2052  288.619 
 2053  288.691 
 2054  288.637 
 2055   288.74 
 2056  288.862 
 2057  288.834 
 2058   288.91 
 2059  288.839 
 2060  288.711 
 2061  288.698 
 2062  288.858 
 2063  288.945 
 2064  288.986 
 2065  288.845 
 2066  288.839 
 2067  288.785 
 2068  288.789 
 2069  288.789 
 2070  288.898 
 2071  288.851 
 2072  288.733 
 2073  288.849 
 2074  288.898 
 2075  288.817 
 2076   289.03 
 2077   289.03 
 2078  288.804 
 2079  288.971 
 2080  289.117 
 2081  288.971 
 2082  289.034 
 2083  289.045 
 2084  288.954 
 2085  288.821 
 2086  288.753 
 2087  288.903 
 2088  289.003 
 2089  288.885 
 2090  288.793 
 2091  288.713 
 2092  288.674 
 2093  288.854 
 2094  288.856 
 2095  288.749 
 2096  288.684 
 2097  288.716 
 2098   288.94 
 2099  288.978 
 2100  288.814 
