#      year    tas (K) 
 2015  288.128 
 2016  288.142 
 2017   288.21 
 2018  288.308 
 2019  288.459 
 2020  288.449 
 2021  288.496 
 2022  288.637 
 2023  288.587 
 2024  288.642 
 2025  288.586 
 2026  288.696 
 2027  288.809 
 2028  288.864 
 2029  288.669 
 2030  288.683 
 2031  288.823 
 2032  288.787 
 2033  288.897 
 2034  289.091 
 2035   288.97 
 2036  289.121 
 2037  289.144 
 2038  289.101 
 2039  289.055 
 2040  289.055 
 2041  289.097 
 2042  289.197 
 2043  289.296 
 2044  289.303 
 2045  289.388 
 2046  289.416 
 2047  289.321 
 2048  289.191 
 2049  289.209 
 2050  289.387 
 2051  289.375 
 2052  289.444 
 2053  289.506 
 2054  289.359 
 2055  289.479 
 2056  289.521 
 2057  289.489 
 2058   289.61 
 2059  289.812 
 2060  289.589 
 2061   289.46 
 2062  289.434 
 2063  289.582 
 2064  289.514 
 2065  289.229 
 2066  289.496 
 2067    289.7 
 2068  289.598 
 2069  289.654 
 2070  289.765 
 2071   289.67 
 2072  289.579 
 2073  289.584 
 2074  289.781 
 2075  289.737 
 2076  289.604 
 2077  289.609 
 2078  289.685 
 2079    289.8 
 2080  289.723 
 2081  289.862 
 2082  289.934 
 2083   289.81 
 2084  289.671 
 2085  289.737 
 2086  289.777 
 2087  289.647 
 2088  289.526 
 2089   289.71 
 2090  289.648 
 2091  289.638 
 2092  289.805 
 2093  289.786 
 2094  289.699 
 2095  289.685 
 2096  289.564 
 2097  289.495 
 2098  289.534 
 2099  289.716 
 2100  289.719 
