#      year    tas (K) 
 2015  287.686 
 2016  287.875 
 2017  288.024 
 2018  287.904 
 2019  287.869 
 2020  287.842 
 2021  288.029 
 2022  288.161 
 2023  287.937 
 2024  287.923 
 2025  288.098 
 2026  288.093 
 2027  287.998 
 2028  288.209 
 2029  288.275 
 2030  288.043 
 2031  288.212 
 2032   288.29 
 2033  288.254 
 2034  288.173 
 2035  288.187 
 2036  288.402 
 2037  288.427 
 2038  288.398 
 2039  288.451 
 2040  288.534 
 2041   288.47 
 2042  288.442 
 2043  288.563 
 2044  288.713 
 2045  288.744 
 2046  288.524 
 2047  288.637 
 2048  288.841 
 2049  288.904 
 2050  288.766 
 2051  288.882 
 2052  288.954 
 2053  288.949 
 2054  289.092 
 2055  289.169 
 2056  288.971 
 2057  289.108 
 2058  289.168 
 2059  289.243 
 2060  289.142 
 2061  289.328 
 2062  289.395 
 2063  289.291 
 2064  289.559 
 2065  289.525 
 2066  289.484 
 2067   289.62 
 2068  289.528 
 2069  289.755 
 2070  289.704 
 2071  289.747 
 2072   289.67 
 2073  289.812 
 2074   289.95 
 2075  289.909 
 2076  289.876 
 2077   289.98 
 2078  290.214 
 2079  290.093 
 2080  290.016 
 2081  290.267 
 2082  290.385 
 2083  290.217 
 2084  290.392 
 2085  290.412 
 2086  290.451 
 2087  290.393 
 2088   290.49 
 2089  290.818 
 2090  290.667 
 2091  290.739 
 2092  290.758 
 2093  290.833 
 2094  290.794 
 2095  290.897 
 2096  290.934 
 2097   290.77 
 2098  291.022 
 2099  291.194 
 2100  291.103 
