#      year    tas (K) 
 2015   287.69 
 2016  287.781 
 2017   287.81 
 2018  287.914 
 2019  287.925 
 2020  287.952 
 2021  287.906 
 2022  287.986 
 2023  287.942 
 2024  287.943 
 2025   287.95 
 2026  287.977 
 2027  288.015 
 2028  287.965 
 2029  288.103 
 2030  288.214 
 2031  288.346 
 2032  288.144 
 2033  288.096 
 2034  288.209 
 2035  288.371 
 2036  288.335 
 2037  288.287 
 2038  288.454 
 2039  288.343 
 2040  288.368 
 2041  288.318 
 2042  288.495 
 2043  288.604 
 2044  288.471 
 2045  288.469 
 2046  288.418 
 2047  288.436 
 2048  288.696 
 2049  288.871 
 2050  288.782 
 2051  288.725 
 2052   288.69 
 2053  288.863 
 2054  289.022 
 2055  288.945 
 2056  289.002 
 2057  289.116 
 2058  289.134 
 2059      289 
 2060  289.135 
 2061  289.309 
 2062   289.17 
 2063  289.288 
 2064  289.189 
 2065  289.432 
 2066  289.326 
 2067   289.29 
 2068  289.376 
 2069  289.544 
 2070   289.66 
 2071  289.581 
 2072  289.576 
 2073  289.807 
 2074  289.781 
 2075   289.69 
 2076   289.77 
 2077   289.78 
 2078  289.771 
 2079  290.022 
 2080  290.057 
 2081  290.086 
 2082   290.11 
 2083  290.364 
 2084  290.216 
 2085  290.209 
 2086  290.184 
 2087  290.378 
 2088   290.47 
 2089  290.484 
 2090  290.604 
 2091  290.824 
 2092  290.745 
 2093  290.788 
 2094   290.82 
 2095  290.878 
 2096  290.962 
 2097  290.977 
 2098  291.048 
 2099  291.069 
 2100  291.009 
