#      year    tas (K) 
 2015  287.913 
 2016  288.018 
 2017  288.039 
 2018  288.078 
 2019  288.172 
 2020  288.056 
 2021   288.16 
 2022  288.294 
 2023   288.26 
 2024  288.368 
 2025    288.4 
 2026  288.261 
 2027  288.513 
 2028  288.552 
 2029  288.414 
 2030  288.512 
 2031  288.595 
 2032  288.657 
 2033  288.534 
 2034  288.578 
 2035  288.725 
 2036  288.809 
 2037  288.902 
 2038  288.957 
 2039  288.899 
 2040  289.016 
 2041  289.093 
 2042  289.136 
 2043  289.103 
 2044   289.14 
 2045  289.071 
 2046  289.179 
 2047  289.375 
 2048  289.296 
 2049  289.324 
 2050  289.426 
 2051  289.207 
 2052  289.341 
 2053  289.359 
 2054  289.357 
 2055  289.485 
 2056  289.513 
 2057  289.543 
 2058  289.553 
 2059  289.662 
 2060  289.769 
 2061   289.66 
 2062  289.765 
 2063  289.875 
 2064  289.801 
 2065   289.99 
 2066   289.95 
 2067  290.105 
 2068  290.216 
 2069  290.108 
 2070   290.14 
 2071  290.127 
 2072  290.181 
 2073  290.378 
 2074    290.4 
 2075  290.401 
 2076  290.453 
 2077  290.525 
 2078  290.613 
 2079  290.619 
 2080  290.721 
 2081  290.809 
 2082  290.948 
 2083  290.901 
 2084  291.058 
 2085  291.166 
 2086  291.096 
 2087  291.139 
 2088  291.049 
 2089  291.016 
 2090  291.152 
 2091  291.314 
 2092  291.283 
 2093  291.243 
 2094  291.461 
 2095  291.364 
 2096   291.51 
 2097  291.732 
 2098  291.458 
 2099  291.556 
 2100  291.822 
