,country,crop,percentage,tonnes
0,USA,mai,0.3511134541512565,234291102.36734694
1,CHN,mai,0.2217054832573691,115492859.34693877
2,BRA,mai,0.07205293010218974,36558335.530612245
3,ARG,mai,0.030494006659885404,15575698.387755102
4,UKR,mai,0.023387940560620657,11859636.25925926
5,IDN,mai,0.021234864355686132,9762311.081632653
6,IND,mai,0.023637868328828436,12358228.775510205
7,MEX,mai,0.023779140371336965,16524927.714285715
8,ROU,mai,0.01096980444629898,9528647.75510204
9,FRA,mai,0.01503857761514062,12662030.959183674
0,CHN,ric,0.28052760156178846,175048640.53061223
1,IND,ric,0.212812574492534,113164756.89795919
2,IDN,ric,0.09826531000978866,46830565.530612245
3,BGD,ric,0.06980961361603308,31714598.63265306
4,VNM,ric,0.05811693236674832,25527132.673469387
5,THA,ric,0.045023627026485324,23419429.0
6,MMR,ric,0.03737297774748842,18371545.795918368
7,PHL,ric,0.024125047581490817,11332700.448979592
8,BRA,ric,0.016281504979095543,10038772.224489795
9,PAK,ric,0.01332890079351961,6452687.795918368
0,CHN,whe,0.17511404954152449,90150961.20408164
1,IND,whe,0.127617871816004,58509242.04081633
2,RUS,whe,0.08379739017623672,48464955.777777776
3,USA,whe,0.07996790806792398,58275723.89795918
4,FRA,whe,0.05271413283243982,30202187.0
5,CAN,whe,0.0408168254756096,24148904.51020408
6,AUS,whe,0.03475299604337691,17530939.51020408
7,DEU,whe,0.034107976187290404,17430431.12244898
8,PAK,whe,0.03490797143552656,16267674.612244898
9,UKR,whe,0.0314906998703232,18932327.259259257
0,USA,soy,0.34687121478070376,66830029.469387755
1,BRA,soy,0.2904198587267949,36191196.22448979
2,ARG,soy,0.16717042523629333,20471717.469387755
3,CHN,soy,0.04684538632407394,11939555.775510205
4,IND,soy,0.04129096758033187,5007030.6122448975
5,PRY,soy,0.02765045218811687,3133127.5918367347
6,CAN,soy,0.019229137049882748,2370239.5306122447
7,UKR,soy,0.010105423460146075,1289750.0
8,RUS,soy,0.007480892414845055,1137906.851851852
9,BOL,soy,0.008752663090639778,955225.306122449
